Haricot de Lima, cru;105;444;70,2;6,84;15,3;0,86;1,48;-;4,9;0,2;0,05;0;0,02;34;-;0,32;3,14;-;58;1,22;136;467;-;8;0,78;0;126;0;0,32;5,6;-;23,4;0,22;0,1;1,47;0,25;0,2;34;0
Courge musqu‚e, pulpe, crue;23,5;99,3;93,3;0,55;4,6;0,1;-;0,95;1;-;-;-;-;18,3;-;-;0,43;0,5;6,25;-;18,3;235;-;-;-;-;-;-;-;-;-;4,6;0,01;-;-;-;-;-;-
Potimarron, pulpe, cru;18;75,8;94,6;0,63;3,1;0,1;-;2,26;1,1;0,027;0,002;0;0,074;18,5;-;0,029;0,27;0,15;7,13;0,038;33;243;< 3,35;29,7;0,11;0;-;0;0,1;-;-;5;0,05;0,02;0,2;0,4;0,05;36;0
Courge hokka‹do, pulpe, crue;56,1;236;86,1;1,4;9,98;0,6;-;4,38;2,6;-;-;-;-;24,7;-;-;0,4;-;10,8;-;32,8;436;-;-;-;-;-;-;-;-;-;13,9;0,015;-;-;-;-;-;-
Courge melonnette, pulpe, crue;30,8;130;91,2;0,75;5,98;0,13;-;0,33;1,35;-;-;-;-;18,3;-;-;0,48;-;16,8;-;23,5;359;-;-;-;-;-;-;-;-;-;9,7;0,01;-;-;-;-;-;-
Courge doubeurre (butternut), pulpe, crue;25;105;86,4;1;4,03;0,1;2,2;1,83;2;0,021;0,007;0;0,01;48;-;0,072;0,7;-;34;0,2;33;352;-;4;0,15;0;4230;0;1,44;1,1;-;21;0,1;0,02;1,2;0,4;0,15;27;0
Courge, crue;14,9;62,4;92,3;1,1;1,6;0,17;1,6;-;1,3;0,037;0,013;0;0,011;28,5;-;0,061;0,6;0,15;16,5;0,17;30,5;312;0,24;4,5;0,26;0;820;0;0,12;1,1;-;14,7;0,028;0,1;0,49;0,17;0,13;34;0
Courge spaghetti, pulpe, crue;32,3;136;91,6;0,64;5,41;0,57;2,76;-;1,5;0,12;0,042;0;0,043;23;-;0,037;0,31;-;12;0,13;12;108;-;17;0,19;0;64;0;0,13;0,9;-;2,1;0,037;0,018;0,95;0,36;0,1;12;0
Piment, cru;44,5;188;87,9;1,87;7,7;0,32;5,3;2,3;1,65;0,031;0,018;0;0,02;14;-;0,15;1,12;-;24;0,21;55,3;331;-;8;0,28;0;534;0;0,69;14;-;155;0,081;0,088;1,07;0,13;0,39;23;0
Champignon, oronge vraie, crue;23,2;97,2;92,9;2;2,45;0,3;1;1;1,7;0,07;0;0;0,013;17;-;-;1,1;-;-;-;89;320;-;5;0,4;0;-;2,1;0,12;-;-;3;0,1;0,31;4;-;0,18;44;-
Champignon, cŠpe, cru;31,6;133;90,3;3,13;3,03;0,43;1,7;0,2;1,93;0,071;0;0;0,024;23;-;0,23;1;-;12;0,17;129;361;120;5;0,4;0;-;3,1;0,04;-;-;3;0,21;0,32;4,45;2,7;0,18;44;-
Champignon, ros‚ des pr‚s, cru;25,3;106;92,1;2,3;2,45;0,4;1;1;1,7;0,1;0,01;0;0,013;10;-;-;1,2;-;-;-;102;320;-;5;0,4;0;-;0;0,12;-;-;4;0,1;0,13;4,2;-;0,18;44;-
Chicor‚e rouge, crue;18,9;78,7;94;1,4;1,6;0,1;1,6;-;3;0,02;0;0;0,018;36;-;-;0,3;-;-;-;30;180;-;7;0,2;0;-;0;0,57;-;-;10;0,07;0,05;0,3;-;0,07;13;-
Chicor‚e verte, crue;16,1;67,3;91,2;1,9;0,5;0,5;0,5;-;1;0,12;0,01;0;0,041;82,5;-;0,06;4,15;-;17;0,3;45;498;-;16,5;0,32;0;3250;0;0,57;-;-;46;0,06;0,53;0,3;-;0,02;29;-
Citrouille, pulpe, crue;29,9;127;91,6;1;6;0,1;2,76;-;0,5;0,052;0,013;0;0,0025;21;-;0,13;0,8;-;12;0,13;44;340;-;1;0,32;0;3100;0;1,06;1,1;-;9;0,05;0,11;0,6;0,3;0,061;16;0
Chou chinois ou pak-choi ou p‚-tsai, cru;16;67,2;95,2;1,38;1,65;0,2;1,18;-;1,05;0,031;0,017;0;0,13;86,4;-;0,021;0,68;0,3;17,5;0,17;37,8;249;0,29;51;0,17;0;2680;0;0,11;45,5;-;40,3;0,04;0,065;0,48;0,092;0,19;73,6;0
